type,name,crc32
blargg,cgb_sound.gb,1c77fe3f
blargg,cpu_instrs.gb,6019840a
blargg,dmg_sound.gb,7cf070a9
blargg,halt_bug.gb,04a3613f
blargg,instr_timing.gb,46cb74fb
blargg,interrupt_time.gb,c596c68e
blargg,mem_timing.gb,210dbd62
blargg,oam_bug.gb,0
,,
mooneye,acceptance/add_sp_e_timing.gb,83343cfc
mooneye,acceptance/bits/mem_oam.gb,5790edc0
mooneye,acceptance/bits/reg_f.gb,460ffe8c
mooneye,acceptance/bits/unused_hwio-GS.gb,0
mooneye,acceptance/boot_div-dmg0.gb,0
mooneye,acceptance/boot_div-dmgABCmgb.gb,0
mooneye,acceptance/boot_div-S.gb,0
mooneye,acceptance/boot_div2-S.gb,0
mooneye,acceptance/boot_hwio-dmg0.gb,0
mooneye,acceptance/boot_hwio-dmgABCmgb.gb,0
mooneye,acceptance/boot_hwio-S.gb,0
mooneye,acceptance/boot_regs-dmg0.gb,0
mooneye,acceptance/boot_regs-dmgABC.gb,6ae57e6d
mooneye,acceptance/boot_regs-mgb.gb,0
mooneye,acceptance/boot_regs-sgb.gb,0
mooneye,acceptance/boot_regs-sgb2.gb,0
mooneye,acceptance/call_cc_timing.gb,5790edc0
mooneye,acceptance/call_cc_timing2.gb,1d7b4cc3
mooneye,acceptance/call_timing.gb,5790edc0
mooneye,acceptance/call_timing2.gb,f6b35d68
mooneye,acceptance/di_timing-GS.gb,5790edc0
mooneye,acceptance/div_timing.gb,7a03f724
mooneye,acceptance/ei_sequence.gb,804cf0c4
mooneye,acceptance/ei_timing.gb,ec5d3739
mooneye,acceptance/halt_ime0_ei.gb,5790edc0
mooneye,acceptance/halt_ime0_nointr_timing.gb,044fea53
mooneye,acceptance/halt_ime1_timing.gb,fa31b3dc
mooneye,acceptance/halt_ime1_timing2-GS.gb,edde2663
mooneye,acceptance/if_ie_registers.gb,6e61df25
mooneye,acceptance/instr/daa.gb,5790edc0
mooneye,acceptance/interrupts/ie_push.gb,5790edc0
mooneye,acceptance/intr_timing.gb,da03b68a
mooneye,acceptance/jp_cc_timing.gb,5790edc0
mooneye,acceptance/jp_timing.gb,5790edc0
mooneye,acceptance/ld_hl_sp_e_timing.gb,130d8951
mooneye,acceptance/oam_dma_restart.gb,a8d74834
mooneye,acceptance/oam_dma_start.gb,f653e0d6
mooneye,acceptance/oam_dma_timing.gb,a8d74834
mooneye,acceptance/oam_dma/basic.gb,5790edc0
mooneye,acceptance/oam_dma/reg_read.gb,5790edc0
mooneye,acceptance/oam_dma/sources-GS.gb,5790edc0
mooneye,acceptance/pop_timing.gb,dc464e86
mooneye,acceptance/ppu/hblank_ly_scx_timing-GS.gb,5790edc0
mooneye,acceptance/ppu/intr_1_2_timing-GS.gb,131efbf6
mooneye,acceptance/ppu/intr_2_0_timing.gb,8848ad36
mooneye,acceptance/ppu/intr_2_mode0_timing_sprites.gb,0
mooneye,acceptance/ppu/intr_2_mode0_timing.gb,0
